Temperature [K],Intensity [W/cmÂ²],S,FWHM [Hz],FWHM deph + FWHM0 [Hz],Fluorescence [cps]
4.731819977388742,0.4282425784438194,0.10832124591397202,2.535634567900673e8,2.4085398406618583e8,15550.338564569076
4.777748671738319,0.4282425784438194,0.12395444973438917,2.6357281798719606e8,2.4861439114298615e8,17547.096786792506
4.4905139342352625,0.4282425784438194,0.10021058685482287,2.1332042723170614e8,2.033735806358958e8,14492.044090571255
5.0756394534530225,0.8564851568876388,0.2251831316899135,3.3678271263219464e8,3.042631003297824e8,29243.32202876731
4.551904828417133,1.7129703137752776,0.3947869365614454,2.50849642094749e8,2.1240246381417817e8,45034.647029430824
4.815501312200125,1.7129703137752776,0.40597668993794983,3.025424132251627e8,2.5515095987906116e8,45942.522712600505
4.888594451159085,1.7129703137752776,0.4041454875016722,3.1783214109578013e8,2.6822037122638038e8,45794.93915018701
4.851474787389434,3.4259406275505553,0.8498619411867661,3.5568452575813144e8,2.615142223025242e8,73097.23078270852
4.869521677718184,3.4259406275505553,0.7978488784906931,3.549960823772528e8,2.6475670567525092e8,70608.87894367009
5.05137706107894,6.851881255101111,1.6662597122991765,4.888312237588092e8,2.9936961109092444e8,99433.35751466367
5.02266086229521,13.703762510202221,3.096466652047174,5.943670411592859e8,2.936635246523336e8,120267.65531993148
4.913180728124004,13.703762510202221,2.5380997547010105,5.130227064350057e8,2.727417047765824e8,114138.0568391813
4.957952104178854,13.703762510202221,2.89236631044898,5.54663989871117e8,2.8114030967212355e8,118231.0237864731
4.998333050518108,27.407525020404442,5.23702895762748,7.215034477860643e8,2.8890132292269593e8,133597.72900511423
4.94449491701503,27.407525020404442,5.485755885994775,7.09497599840134e8,2.785932767119393e8,134576.03859021267
5.019373937255877,27.407525020404442,5.243475897868364,7.321582410766003e8,2.93016269807257e8,133624.070553853
5.236479193509516,55.67153519769652,8.53865280118162,1.0452365155933801e9,3.3843171360294366e8,142427.60595757095
5.1409751527670915,55.67153519769652,8.487260685185058,9.787945480116475e8,3.1777602234991825e8,142337.24923178327
5.11575936155274,55.67153519769652,9.403541638241563,1.0079613304840174e9,3.125023346795395e8,143814.3103839826
5.297967624372715,104.91943171873574,14.344700392248676,1.3801030667133865e9,3.523159576098388e8,148739.0247394793
5.159991586759534,104.91943171873574,16.3943557895101,1.3421263791388206e9,3.2180236972192866e8,149960.84113650653
5.2098427002768934,104.91943171873574,16.509879813933484,1.3915944899938118e9,3.3256084724404436e8,150021.19049478063
5.537675729396314,219.26020016323554,20.423709134939376,1.902647469229189e9,4.1106546908802986e8,151681.22041134103
5.348209704234987,219.26020016323554,27.36816458262644,1.9387872579027698e9,3.64011025235114e8,153499.26343124872
5.570339394213101,219.26020016323554,20.01199625795351,1.9237022727273614e9,4.196664012151012e8,151535.69985944006
5.417060393881346,438.5204003264711,45.17254836934674,2.5859334968311434e9,3.8056200749274474e8,155662.00050643506
5.7168712407313915,438.5204003264711,33.979587804821286,2.721230777947878e9,4.6010614181764287e8,154559.34893159496
5.514614079969649,438.5204003264711,44.98248094106804,2.746872427858579e9,4.050813888598996e8,155647.75679013753
4.962273640850992,877.0408006529422,200.0000000000054,3.9975069087510552e9,2.8196239724519765e8,158316.36111776918
6.049664006213086,877.0408006529422,46.06590861809067,3.8690893005980372e9,5.639693862247328e8,155727.40810325253
5.630891663805548,877.0408006529422,83.29921634384132,4.0031657938959723e9,4.3600534004490757e8,157220.52391967017
6.058167822280429,1754.0816013058843,99.83556026610994,5.692185889950537e9,5.668553065341525e8,157530.04775915734
6.20199068889127,1754.0816013058843,79.75720825386705,5.549309015233595e9,6.175160654084673e8,157137.7417937797
6.272765459468534,1754.0816013058843,74.48592536308469,5.593180494434259e9,6.437627488796943e8,157000.1600200147
8.12937038162724,3425.9406275505544,29.23647165748426,9.436280594984255e9,1.71607115271654e9,153845.8229007007
8.159576513082014,3425.9406275505544,25.940008343279455,9.035045809535255e9,1.7407303280368366e9,153201.93350806955
8.474870102741704,3425.9406275505544,20.15970579376187,9.265087549515173e9,2.0141634696847067e9,151588.5594085709
10.040146248569306,6934.103830162324,12.012048025597966,1.3878521828805916e10,3.8474269615070825e9,146880.2027082625
10.266963781443533,6934.103830162324,10.117636967775747,1.395034522540697e10,4.1838750963610573e9,144796.63348012566
10.164763356273474,6934.103830162324,10.9046299047531,1.3904628912183868e10,4.0299666638469005e9,145742.7275242777
13.02421165764008,13703.762510202218,4.412225513314266,2.273283083009147e10,9.771597685364967e9,129710.06537151785
13.067206628419953,13703.762510202218,4.535295690291963,2.3244691918675667e10,9.879918947888857e9,130363.68935034504
12.979866621650853,13703.762510202218,4.629510039730367,2.2921112021613014e10,9.660517346755638e9,130844.74740537316
17.51803670458007,27407.525020404435,1.7914763924893196,4.034437828696557e10,2.4147159324453762e10,102110.16807150896
17.48138870470648,27407.525020404435,1.7863328065459396,4.006829941819332e10,2.4004044115830765e10,102004.94986037383
17.457171278495085,27407.525020404435,1.8312533125380275,4.023134073436266e10,2.3909755893214535e10,102910.94274016758
22.23318373633587,54815.05004080887,0.5287415973714673,6.236227331903332e10,5.043765617786146e10,55030.220961105064
22.204195328320786,54815.05004080887,0.48959828129995053,6.125898616480763e10,5.0192083481406685e10,52295.29086759245
22.079781928298935,54815.05004080887,0.5369974851404185,6.0943427201365204e10,4.915755740122546e10,55589.26806435388
